V(Au),sV(Au),V(3C),sV(3C),T(3C),sT(3C)
5.948187738000000024e+01,8.024277000000000493e-02,7.312640000000000384e+01,3.660000000000000059e-02,1.725000000000000000e+03,4.242640687000000099e+01
5.942564588999999842e+01,5.374467299999999975e-02,7.307019999999999982e+01,4.429999999999999910e-02,1.703000000000000000e+03,4.313351364999999760e+01
5.943484468999999848e+01,2.684653999999999860e-02,7.302589999999999293e+01,4.420000000000000318e-02,1.846000000000000000e+03,4.737615433999999937e+01
5.940571392999999745e+01,5.030509600000000053e-02,7.297289999999999566e+01,3.649999999999999772e-02,1.821000000000000000e+03,4.384062043000000131e+01
5.939905911000000316e+01,4.604130800000000301e-02,7.298290000000000077e+01,3.649999999999999772e-02,1.862000000000000000e+03,4.101219331000000068e+01
5.944013488000000223e+01,4.398995800000000261e-02,7.299129999999999541e+01,3.649999999999999772e-02,1.940000000000000000e+03,3.464823228000000199e+01
5.937254940999999775e+01,4.003779100000000313e-02,7.289029999999999632e+01,3.640000000000000180e-02,2.022000000000000000e+03,3.606244584000000231e+01
5.935093897000000140e+01,3.837642000000000136e-02,7.286769999999999925e+01,3.640000000000000180e-02,2.081000000000000000e+03,3.676955261999999891e+01
5.934074432999999971e+01,3.725861600000000134e-02,7.287820000000000675e+01,4.410000000000000031e-02,2.007000000000000000e+03,3.394112549999999828e+01
5.932253469999999851e+01,4.216133300000000222e-02,7.282739999999999725e+01,3.640000000000000180e-02,2.155000000000000000e+03,3.394112549999999828e+01
5.926366821999999956e+01,5.615988599999999914e-02,7.281610000000000582e+01,4.410000000000000031e-02,2.205000000000000000e+03,6.363961030999999657e+00
5.925816309999999731e+01,3.951450799999999680e-02,7.279529999999999745e+01,4.399999999999999745e-02,2.112000000000000000e+03,9.192388154999999728e+00
5.928060546999999758e+01,4.155677299999999824e-02,7.280230000000000246e+01,4.780000000000000221e-02,2.134000000000000000e+03,1.484924239999999962e+01
