V(Au),sV(Au),V(6H),sV(6H)
5.958841396999999773e+01,2.351361199999999971e-02,1.110639999999999930e+02,6.850000000000000533e-02
5.739309029000000351e+01,5.322622700000000096e-02,1.064470000000000027e+02,6.850000000000000533e-02
6.493428849999999386e+01,1.270873599999999999e-02,1.204241999999999990e+02,5.020000000000000157e-02
6.436201753999999653e+01,2.372048400000000001e-02,1.195153999999999996e+02,5.820000000000000173e-02
6.355600107000000065e+01,3.783519500000000202e-02,1.182030000000000030e+02,6.320000000000000617e-02
6.249496352999999971e+01,2.669644100000000131e-02,1.166460000000000008e+02,4.970000000000000112e-02
6.213489777000000203e+01,2.913485299999999875e-02,1.159060000000000059e+02,1.092000000000000054e-01
6.180569630000000103e+01,2.372048400000000001e-02,1.154034999999999940e+02,6.320000000000000617e-02
6.157684005000000127e+01,3.783519500000000202e-02,1.150181999999999931e+02,6.539999999999999980e-02
6.138341556000000310e+01,2.669644100000000131e-02,1.146740000000000066e+02,6.260000000000000286e-02
6.125266160999999698e+01,2.913485299999999875e-02,1.143826999999999998e+02,6.019999999999999657e-02
6.613391253000000347e+01,1.496463599999999991e-02,1.220608000000000004e+02,8.780000000000000304e-02
6.404884549999999876e+01,2.981113499999999902e-02,1.194022999999999968e+02,5.899999999999999689e-02
6.297084996000000245e+01,5.608819100000000252e-02,1.174681000000000068e+02,6.460000000000000464e-02
6.162947333000000327e+01,4.087925700000000218e-02,1.147467000000000041e+02,5.330000000000000016e-02
5.964897040999999689e+01,8.424743499999999552e-02,1.113525999999999954e+02,1.044000000000000067e-01
5.871709552000000087e+01,9.732196299999999745e-02,1.095053000000000054e+02,1.009000000000000036e-01
5.822863132999999891e+01,4.087925700000000218e-02,1.086085999999999956e+02,1.005999999999999950e-01
6.682482905000000528e+01,1.917041099999999831e-02,1.231376000000000062e+02,6.959999999999999520e-02
6.486291112000000680e+01,5.805415500000000312e-02,1.200177000000000049e+02,5.979999999999999899e-02
6.318620246999999779e+01,7.621622299999999961e-02,1.172082999999999942e+02,6.040000000000000230e-02
6.257214219000000099e+01,4.837458800000000309e-02,1.161991000000000014e+02,5.750000000000000250e-02
6.143791824000000190e+01,5.800601999999999842e-02,1.143161999999999949e+02,5.349999999999999895e-02
6.115601999999999805e+01,6.653103400000000278e-02,1.137510000000000048e+02,6.439999999999999891e-02
6.098361153999999829e+01,5.800601999999999842e-02,1.135272999999999968e+02,6.169999999999999790e-02
6.030021083999999831e+01,2.123020999999999936e-02,1.125117999999999938e+02,1.049999999999999961e-01
6.007621515999999673e+01,2.927748900000000029e-02,1.119985000000000070e+02,5.210000000000000048e-02
5.968736186999999660e+01,2.123020999999999936e-02,1.114449999999999932e+02,1.292000000000000093e-01
5.895275614999999902e+01,5.888734899999999856e-02,1.100266000000000020e+02,1.019999999999999934e-01
5.609901207000000056e+01,1.933538400000000060e-02,1.041628000000000043e+02,4.900000000000000189e-02
6.749885288000000116e+01,4.997657199999999689e-02,1.241560000000000059e+02,5.979999999999999899e-02
5.902257969000000060e+01,4.997657199999999689e-02,1.100190000000000055e+02,7.069999999999999896e-02
