V(Au),sV(Au),V(6H),sV(6H),T(6H),sT(6H)
6.178827737999999670e+01,5.169951999999999881e-02,1.131516000000000020e+02,5.550000000000000072e-02,1.793000000000000000e+03,1.378858223000000010e+02
6.190848685999999645e+01,5.331435300000000183e-02,1.130763000000000034e+02,5.269999999999999685e-02,1.836000000000000000e+03,1.513208511999999928e+02
6.201782596000000325e+01,4.673620700000000183e-02,1.131963999999999970e+02,4.730000000000000177e-02,1.873000000000000000e+03,1.513208511999999928e+02
6.198628078000000130e+01,4.220003900000000169e-02,1.131165000000000020e+02,4.769999999999999934e-02,1.911000000000000000e+03,1.824335494999999980e+02
6.201301524000000143e+01,4.460461500000000024e-02,1.131022999999999996e+02,4.769999999999999934e-02,1.867000000000000000e+03,8.555992052000000569e+01
6.186035780999999645e+01,3.924806899999999654e-02,1.130970999999999975e+02,5.220000000000000334e-02,1.705000000000000000e+03,2.969848481000000007e+01
6.178119219999999956e+01,3.820612500000000050e-02,1.130099000000000018e+02,5.290000000000000258e-02,1.619000000000000000e+03,9.192388154999999728e+00
6.192658729000000051e+01,4.155781399999999848e-02,1.131317999999999984e+02,5.229999999999999927e-02,1.752000000000000000e+03,1.414213561999999946e+01
6.208322718000000151e+01,3.873790800000000145e-02,1.133322000000000003e+02,4.739999999999999769e-02,1.992000000000000000e+03,4.242640686999999744e+00
6.172922117000000242e+01,4.523706100000000202e-02,1.133427999999999969e+02,4.469999999999999668e-02,2.055000000000000000e+03,1.414213562000000035e+00
6.070680048999999912e+01,1.394185769999999880e-01,1.112721999999999980e+02,5.290000000000000258e-02,1.960000000000000000e+03,5.303300859000000145e+01
6.081479867000000183e+01,1.433888670000000032e-01,1.114672999999999945e+02,5.639999999999999875e-02,2.040000000000000000e+03,1.286934342000000129e+02
6.074091931000000244e+01,7.127937400000000645e-02,1.116024000000000029e+02,5.129999999999999838e-02,1.983000000000000000e+03,1.138441918000000044e+02
6.079790940000000177e+01,7.437233499999999775e-02,1.116120999999999981e+02,4.909999999999999781e-02,1.966000000000000000e+03,9.333809512000000552e+01
6.076587968999999845e+01,2.557972700000000002e-02,1.116597000000000008e+02,4.839999999999999858e-02,1.876000000000000000e+03,1.138441918000000044e+02
6.072622353999999945e+01,4.052268199999999737e-02,1.114564000000000021e+02,5.120000000000000245e-02,1.869000000000000000e+03,1.697056274999999914e+02
6.084273817999999778e+01,1.933847799999999922e-02,1.112903000000000020e+02,4.170000000000000095e-02,1.679000000000000000e+03,1.760695885000000089e+02
6.081888366999999818e+01,3.999584800000000051e-02,1.113384999999999962e+02,4.929999999999999660e-02,1.584000000000000000e+03,2.687005768999999944e+01
6.077541064999999776e+01,4.559530600000000211e-02,1.112921000000000049e+02,4.170000000000000095e-02,1.598000000000000000e+03,1.371787156000000039e+02
6.082093477000000092e+01,4.776601800000000037e-02,1.113122000000000043e+02,4.460000000000000075e-02,1.576000000000000000e+03,1.011162697000000037e+02
6.084083677000000279e+01,4.216133300000000222e-02,1.113661000000000030e+02,4.599999999999999922e-02,1.646000000000000000e+03,1.322289681000000030e+02
5.853907748999999683e+01,4.987856599999999918e-02,1.078503000000000043e+02,4.889999999999999902e-02,2.228000000000000000e+03,1.258650070999999997e+02
5.846116509000000150e+01,5.983544500000000099e-02,1.076821999999999946e+02,4.399999999999999745e-02,2.252000000000000000e+03,4.525483400000000245e+01
5.850566526000000067e+01,8.242398099999999339e-02,1.077728000000000037e+02,4.660000000000000253e-02,2.182000000000000000e+03,8.414570695999999828e+01
5.866160487999999873e+01,1.368209559999999936e-01,1.078701999999999970e+02,4.669999999999999846e-02,2.106000000000000000e+03,7.283199845999999411e+01
5.786229613999999799e+01,2.562203379999999919e-01,1.056243999999999943e+02,4.540000000000000285e-02,2.399000000000000000e+03,2.121320344000000091e+01
5.786346018999999785e+01,1.975980810000000087e-01,1.056634999999999991e+02,4.560000000000000164e-02,2.355000000000000000e+03,1.647558799999999906e+02
5.780045222999999766e+01,1.728776599999999955e-02,1.057289999999999992e+02,4.290000000000000063e-02,2.222000000000000000e+03,6.646803742999999542e+01
5.776385549999999824e+01,2.883511199999999955e-02,1.057991999999999990e+02,4.569999999999999757e-02,1.693000000000000000e+03,5.939696962000000013e+01
5.766766693000000288e+01,5.497549399999999975e-02,1.058041000000000054e+02,4.299999999999999656e-02,1.716000000000000000e+03,3.959797975000000037e+01
5.868558735999999953e+01,8.024277000000000493e-02,1.082446999999999946e+02,4.449999999999999789e-02,1.792000000000000000e+03,1.032375899999999973e+02
5.870677191000000050e+01,5.374467299999999975e-02,1.081526999999999958e+02,4.150000000000000216e-02,1.881000000000000000e+03,5.232590199999999925e+01
5.887403676999999647e+01,2.684653999999999860e-02,1.081676999999999964e+02,4.920000000000000068e-02,1.997000000000000000e+03,3.535534000000000177e+00
5.879440962000000326e+01,5.030509600000000053e-02,1.082030000000000030e+02,3.790000000000000313e-02,2.166000000000000000e+03,4.384062000000000126e+01
